roleDefinitionId,roleName
c2f4ef07-c644-48eb-af81-4b1b4947fb11,AcrDelete
6cef56e8-d556-48e5-a04f-b8e64114680f,AcrImageSigner
7f951dda-4ed3-4680-a7ca-43fe172d538d,AcrPull
8311e382-0749-4cb8-b61a-304f252e45ec,AcrPush
cdda3590-29a3-44f6-95f2-9f980659eb04,AcrQuarantineReader
c8d4ff99-41c3-41a8-9f60-21dfdad59608,AcrQuarantineWriter
6b534d80-e337-47c4-864f-140f5c7f593d,Advisor Recommendations Contributor (Assessments and Reviews)
8aac15f0-d885-4138-8afa-bfb5872f7d13,Advisor Reviews Contributor
c64499e0-74c3-47ad-921c-13865957895c,Advisor Reviews Reader
c031e6a8-4391-4de0-8d69-4706a7ed3729,API Management Developer Portal Content Editor
312a565d-c81f-4fd8-895a-4e21e48d571c,API Management Service Contributor
e022efe7-f5ba-4159-bbe4-b44f577e9b61,API Management Service Operator Role
71522526-b88f-4d52-b57f-d31fc3546d0d,API Management Service Reader Role
9565a273-41b9-4368-97d2-aeb0c976a9b3,API Management Service Workspace API Developer
d59a3e9c-6d52-4a5a-aeed-6bf3cf0e31da,API Management Service Workspace API Product Manager
56328988-075d-4c6a-8766-d93edd6725b6,API Management Workspace API Developer
73c2c328-d004-4c5e-938c-35c6f5679a1f,API Management Workspace API Product Manager
0c34c906-8d99-4cb7-8bb7-33f5b0a1a799,API Management Workspace Contributor
ef1c2c96-4a77-49e8-b9a4-6179fe1d2fd2,API Management Workspace Reader
0f37683f-2463-46b6-9ce7-9b788b988ba2,App Compliance Automation Administrator
ffc6bbe0-e443-4c3b-bf54-26581bb2f78e,App Compliance Automation Reader
fe86443c-f201-4fc4-9d2a-ac61149fbda0,App Configuration Contributor
5ae67dd6-50cb-40e7-96ff-dc2bfa4b606b,App Configuration Data Owner
516239f1-63e1-4d78-a4de-a74fb236a071,App Configuration Data Reader
175b81b9-6e0d-490a-85e4-0d422273c10c,App Configuration Reader
ae349356-3a1b-4a5e-921d-050484c6347e,Application Insights Component Contributor
08954f03-6346-4c2e-81c0-ec3a5cfae23b,Application Insights Snapshot Debugger
f6e92014-8af2-414d-9948-9b1abf559285,Arc Gateway Manager
bbf86eb8-f7b4-4cce-96e4-18cddf81d86e,Attestation Contributor
fd1bd22b-8476-40bc-a0bc-69b95687b9f3,Attestation Reader
f353d9bd-d4a6-484e-a77a-8050b599b867,Automation Contributor
4fe576fe-1146-4730-92eb-48519fa6bf9f,Automation Job Operator
d3881f73-407a-4167-8283-e981cbba0404,Automation Operator
5fb5aef8-1081-4b8e-bb16-9d5d0385bab5,Automation Runbook Operator
4f8fab4f-1852-4a58-a46a-8eaf358af14a,Avere Contributor
c025889f-8102-4ebf-b32c-fc0c6f0c6bd9,Avere Operator
b78c5d69-af96-48a3-bf8d-a8b4d589de94,Azure AI Administrator
64702f94-c441-49e6-a78b-ef80e0188fee,Azure AI Developer
b556d68e-0be0-4f35-a333-ad7ee1ce17ea,Azure AI Enterprise Network Connection Approver
3afb7f49-54cb-416e-8c09-6dc049efa503,Azure AI Inference Deployment Operator
ede9aaa3-4627-494e-be13-4aa7c256148d,Azure API Center Compliance Manager
c7244dfb-f447-457d-b2ba-3999044d1706,Azure API Center Data Reader
dd24193f-ef65-44e5-8a7e-6fa6e03f7713,Azure API Center Service Contributor
6cba8790-29c5-48e5-bab1-c7541b01cb04,Azure API Center Service Reader
00493d72-78f6-4148-b6c5-d3ce8e4799dd,Azure Arc Enabled Kubernetes Cluster User Role
dffb1e0c-446f-4dde-a09f-99eb5cc68b96,Azure Arc Kubernetes Admin
8393591c-06b9-48a2-a542-1bd6b377f6a2,Azure Arc Kubernetes Cluster Admin
63f0a09d-1495-4db4-a681-037d84835eb4,Azure Arc Kubernetes Viewer
5b999177-9696-4545-85c7-50de3797e5a1,Azure Arc Kubernetes Writer
a92dfd61-77f9-4aec-a531-19858b406c87,Azure Arc ScVmm Administrator role
c0781e91-8102-4553-8951-97c6d4243cda,Azure Arc ScVmm Private Cloud User
6aac74c4-6311-40d2-bbdd-7d01e7c6e3a9,Azure Arc ScVmm Private Clouds Onboarding
e582369a-e17b-42a5-b10c-874c387c530b,Azure Arc ScVmm VM Contributor
b748a06d-6150-4f8a-aaa9-ce3940cd96cb,Azure Arc VMware VM Contributor
29fe4964-1e60-436b-bd3a-77fd4c178b3c,Azure Batch Account Contributor
11076f67-66f6-4be0-8f6b-f0609fd05cc9,Azure Batch Account Reader
6aaa78f1-f7de-44ca-8722-c64a23943cae,Azure Batch Data Contributor
48e5e92e-a480-4e71-aa9c-2778f4c13781,Azure Batch Job Submitter
7b0c7e81-271f-4c71-90bf-e30bdfdbc2f7,Azure Center for SAP solutions administrator
05352d14-a920-4328-a0de-4cbe7430e26b,Azure Center for SAP solutions reader
aabbc5dd-1af0-458b-a942-81af88f9c138,Azure Center for SAP solutions service role
b64e21ea-ac4e-4cdf-9dc9-5b892992bee7,Azure Connected Machine Onboarding
cd570a14-e51a-42ad-bac8-bafd67325302,Azure Connected Machine Resource Administrator
f5819b54-e033-4d82-ac66-4fec3cbf3f4c,Azure Connected Machine Resource Manager
e8113dce-c529-4d33-91fa-e9b972617508,Azure Connected SQL Server Onboarding
5d977122-f97e-4b4d-a52f-6b43003ddb4d,Azure Container Instances Contributor Role
95dd08a6-00bd-4661-84bf-f6726f83a4d0,Azure Container Storage Contributor
08d4c71a-cc63-4ce4-a9c8-5dd251b4d619,Azure Container Storage Operator
95de85bd-744d-4664-9dde-11430bc34793,Azure Container Storage Owner
4dae6930-7baf-46f5-909e-0383bc931c46,Azure Customer Lockbox Approver for Subscription
a5c3590a-3a1a-4cd4-9648-ea0a32b15137,Azure Device Registry Contributor
09267e11-2e06-40b5-8fe4-68cea20794c9,Azure Device Registry Credentials Contributor
547f7f0a-69c0-4807-bd9e-0321dfb66a84,Azure Device Registry Onboarding
bcd981a7-7f74-457b-83e1-cceb9e632ffe,Azure Digital Twins Data Owner
d57506d4-4c8d-48b1-8587-93c323f6a5a3,Azure Digital Twins Data Reader
f526a384-b230-433a-b45c-95f59c4a2dec,Azure Event Hubs Data Owner
a638d3c7-ab3a-418d-83e6-5f17a39d4fde,Azure Event Hubs Data Receiver
2b629674-e913-4c01-ae53-ef4638d8f975,Azure Event Hubs Data Sender
92b92042-07d9-4307-87f7-36a593fc5850,Azure File Sync Administrator
754c1a27-40dc-4708-8ad4-2bffdeee09e8,Azure File Sync Reader
0ab34830-df19-4f8c-b84e-aa85b8afa6e8,Azure Front Door Domain Contributor
0f99d363-226e-4dca-9920-b807cf8e1a5f,Azure Front Door Domain Reader
662802e2-50f6-46b0-aed2-e834bacc6d12,Azure Front Door Profile Reader
3f2eb865-5811-4578-b90a-6fc6fa0df8e5,Azure Front Door Secret Contributor
0db238c4-885e-4c4f-a933-aa2cef684fca,Azure Front Door Secret Reader
5bc02df6-6cd5-43fe-ad3d-4c93cf56cc16,Azure IoT Operations Administrator
7b7c71ed-33fa-4ed2-a91a-e56d5da260b5,Azure IoT Operations Onboarding
63bb64ad-9799-4770-b5c3-24ed299a07bf,Azure Kubernetes Fleet Manager Contributor Role
de2b316d-7a2c-4143-b4cd-c148f6a355a1,Azure Kubernetes Fleet Manager Hub Agent Role
850c5848-fc51-4a9a-8823-f220370626e3,Azure Kubernetes Fleet Manager Hub Cluster User Role
434fb43a-c01c-447e-9f67-c3ad923cfaba,Azure Kubernetes Fleet Manager RBAC Admin
d1f699ed-700a-4c77-a22f-29890ac7b115,Azure Kubernetes Fleet Manager RBAC Admin for Member Clusters
18ab4d3d-a1bf-4477-8ad9-8359bc988f69,Azure Kubernetes Fleet Manager RBAC Cluster Admin
79a36d98-eb96-4a76-ae1d-481dc98d2c23,Azure Kubernetes Fleet Manager RBAC Cluster Admin for Member Clusters
30b27cfc-9c84-438e-b0ce-70e35255df80,Azure Kubernetes Fleet Manager RBAC Reader
463ad26c-fcce-4469-9c7f-5653d8acbab5,Azure Kubernetes Fleet Manager RBAC Reader for Member Clusters
5af6afb3-c06c-4fa4-8848-71a8aee05683,Azure Kubernetes Fleet Manager RBAC Writer
50346970-0998-40f2-b47d-f3b8809840f8,Azure Kubernetes Fleet Manager RBAC Writer for Member Clusters
b29efa5f-7782-4dc3-9537-4d5bc70a5e9f,Azure Kubernetes Service Arc Cluster Admin Role
233ca253-b031-42ff-9fba-87ef12d6b55f,Azure Kubernetes Service Arc Cluster User Role
5d3f1697-4507-4d08-bb4a-477695db5f82,Azure Kubernetes Service Arc Contributor Role
0ab0b1a8-8aac-4efd-b8c2-3ee1fb270be8,Azure Kubernetes Service Cluster Admin Role
1afdec4b-e479-420e-99e7-f82237c7c5e6,Azure Kubernetes Service Cluster Monitoring User
4abbcc35-e782-43d8-92c5-2d3f1bd2253f,Azure Kubernetes Service Cluster User Role
ed7f3fbd-7b88-4dd4-9017-9adb7ce333f8,Azure Kubernetes Service Contributor Role
289d8817-ee69-43f1-a0af-43a45505b488,Azure Kubernetes Service Namespace Contributor
c9f76ca8-b262-4b10-8ed2-09cf0948aa35,Azure Kubernetes Service Namespace User
3498e952-d568-435e-9b2c-8d77e338d7f7,Azure Kubernetes Service RBAC Admin
b1ff04bb-8a4e-4dc4-8eb5-8693973ce19b,Azure Kubernetes Service RBAC Cluster Admin
7f6c6a51-bcf8-42ba-9220-52d62157d7db,Azure Kubernetes Service RBAC Reader
a7ffa36f-339b-4b5c-8bdf-e2c188b2c0eb,Azure Kubernetes Service RBAC Writer
5c2d7e57-b7c2-4d8a-be4f-82afa42c6e95,Azure Managed Grafana Workspace Contributor
3015e5ed-6856-4ab3-b2f0-b8492aa30ca6,Azure Managed Redis Contributor
f287ba2f-f923-4464-a5bd-721c3951d32d,Azure Managed Redis Reader
8f5e0ce6-4f7b-4dcf-bddf-e6f48634a204,Azure Maps Data Contributor
423170ca-a8f6-4b0f-8487-9e4eb8f49bfa,Azure Maps Data Reader
6be48352-4f82-47c9-ad5e-0acacefdb005,Azure Maps Search and Render Data Reader
7859c0b0-0bb9-4994-bd12-cd529af7d646,Azure Migrate Decide and Plan Expert
1cfa4eac-9a23-481c-a793-bfb6958e836b,Azure Migrate Execute Expert
fd8ea4d5-6509-4db0-bada-356ab233b4fa,Azure Migrate Owner
ba480ccd-6499-4709-b581-8f38bb215c63,Azure Migrate Service Reader
a1f96423-95ce-4224-ab27-4e3dc72facd4,Azure Red Hat OpenShift Cloud Controller Manager
0336e1d3-7a87-462b-b6db-342b63f7802c,Azure Red Hat OpenShift Cluster Ingress Operator
5b7237c5-45e1-49d6-bc18-a1f62f400748,Azure Red Hat OpenShift Disk Storage Operator
ef318e2a-8334-4a05-9e4a-295a196c6a6e,Azure Red Hat OpenShift Federated Credential
0d7aedc0-15fd-4a67-a412-efad370c947e,Azure Red Hat OpenShift File Storage Operator
8b32b316-c2f5-4ddf-b05b-83dacd2d08b5,Azure Red Hat OpenShift Image Registry Operator
0358943c-7e01-48ba-8889-02cc51d78637,Azure Red Hat OpenShift Machine API Operator
be7a6435-15ae-4171-8f30-4a343eff9e8f,Azure Red Hat OpenShift Network Operator
4436bae4-7702-4c84-919b-c4069ff25ee2,Azure Red Hat OpenShift Service Operator
26e0b698-aa6d-4085-9386-aadae190014d,Azure Relay Listener
2787bf04-f1f5-4bfe-8383-c8a24483ee38,Azure Relay Owner
26baccc8-eea7-41f1-98f4-1762cc7f685d,Azure Relay Sender
7b1f81f9-4196-4058-8aae-762e593270df,Azure Resource Bridge Deployment Role
0b962ed2-6d56-471c-bd5f-3477d83a7ba4,Azure Resource Notifications System Topics Subscriber
090c5cfd-751d-490a-894a-3ce6f1109419,Azure Service Bus Data Owner
4f6d3b9b-027b-4f4c-9142-0e5a2a2247e0,Azure Service Bus Data Receiver
69a216fc-b8fb-44d8-bc22-1f3c2cd27a39,Azure Service Bus Data Sender
25211fc6-dc78-40b6-b205-e4ac934fd9fd,Azure Spring Apps Application Configuration Service Config File Pattern Reader Role
6593e776-2a30-40f9-8a32-4fe28b77655d,Azure Spring Apps Application Configuration Service Log Reader Role
80558df3-64f9-4c0f-b32d-e5094b036b0b,Azure Spring Apps Connect Role
b459aa1d-e3c8-436f-ae21-c0531140f43e,Azure Spring Apps Job Log Reader Role
a99b0159-1064-4c22-a57b-c9b3caa1c054,Azure Spring Apps Remote Debugging Role
4301dc2a-25a9-44b0-ae63-3636cf7f2bd2,Azure Spring Apps Spring Cloud Gateway Log Reader Role
a06f5c24-21a7-4e1a-aa2b-f19eb6684f5b,Azure Spring Cloud Config Server Contributor
d04c6db6-4947-4782-9e91-30a88feb7be7,Azure Spring Cloud Config Server Reader
b5537268-8956-4941-a8f0-646150406f0c,Azure Spring Cloud Data Reader
f5880b48-c26d-48be-b172-7927bfa1c8f1,Azure Spring Cloud Service Registry Contributor
cff1b556-2399-4e7e-856d-a8f754be7b65,Azure Spring Cloud Service Registry Reader
bda0d508-adf1-4af0-9c28-88919fc3ae06,Azure Stack HCI Administrator
c99c945f-8bd1-4fb1-a903-01460aae6068,Azure Stack HCI Connected InfraVMs
865ae368-6a45-4bd1-8fbf-0d5151f56fc1,Azure Stack HCI Device Management Role
874d1c73-6003-4e60-a13a-cb31ea190a85,Azure Stack HCI VM Contributor
4b3fe76c-f777-4d24-a2d7-b027b0f7b273,Azure Stack HCI VM Reader
6f12a6df-dd06-4f3e-bcb1-ce8be600526a,Azure Stack Registration Owner
e503ece1-11d0-4e8e-8e2c-7a6c3bf38815,AzureML Compute Operator
f6c7c914-8db3-469d-8ca1-694a8f32e121,AzureML Data Scientist
635dd51f-9968-44d3-b7fb-6d9a6bd613ae,AzureML Metrics Writer (preview)
1823dd4f-9b8c-4ab6-ab4e-7397a3684615,AzureML Registry User
5e467623-bb1f-42f4-a55d-6e525e11384b,Backup Contributor
c2a970b4-16a7-4a51-8c84-8a8ea6ee0bb8,Backup MUA Admin
f54b6d04-23c6-443e-b462-9c16ab7b4a52,Backup MUA Operator
00c29273-979b-4161-815c-10b084fb9324,Backup Operator
a795c7a0-d4a2-40c1-ae25-d81f01202912,Backup Reader
fa23ad8b-c56e-40d8-ac0c-ce449e1d2c64,Billing Reader
5e3c6656-6cfa-4708-81fe-0de47ac73342,BizTalk Contributor
41077137-e803-4205-871c-5a86e6a753b4,Blueprint Contributor
437d2ced-4a38-4302-8479-ed2bcb43d090,Blueprint Operator
fa0d39e6-28e5-40cf-8521-1eb320653a4c,Carbon Optimization Reader
426e0c7f-0c7e-4658-b36f-ff54d6c29b45,CDN Endpoint Contributor
871e35f6-b5c1-49cc-a043-bde969a0f2cd,CDN Endpoint Reader
ec156ff8-a8d1-4d15-830c-5b80698ca432,CDN Profile Contributor
8f96442b-4075-438f-813d-ad51ab4019af,CDN Profile Reader
7c2e40b7-25eb-482a-82cb-78ba06cb46d5,Chaos Studio Experiment Contributor
1a40e87e-6645-48e0-b27a-0b115d849a20,Chaos Studio Operator
29e2da8a-229c-4157-8ae8-cc72fc506b74,Chaos Studio Reader
59a618e3-3c9a-406e-9f03-1a20dd1c55f1,Chaos Studio Target Contributor
b34d265f-36f7-4a0d-a4d4-e158ca92e90f,Classic Network Contributor
86e8f5dc-a6e9-4c67-9d15-de283e8eac25,Classic Storage Account Contributor
985d6b00-f706-48f5-a6fe-d0ca12fb668d,Classic Storage Account Key Operator Service Role
d73bb868-a0df-4d4d-bd69-98a00b01fccb,Classic Virtual Machine Contributor
25fbc0a9-bd7c-42a3-aa1a-3b75d497ee68,Cognitive Services Contributor
c1ff6cc2-c111-46fe-8896-e0ef812ad9f3,Cognitive Services Custom Vision Contributor
5c4089e1-6d96-4d2f-b296-c1bc7137275f,Cognitive Services Custom Vision Deployment
88424f51-ebe7-446f-bc41-7fa16989e96c,Cognitive Services Custom Vision Labeler
93586559-c37d-4a6b-ba08-b9f0940c2d73,Cognitive Services Custom Vision Reader
0a5ae4ab-0d65-4eeb-be61-29fc9b54394b,Cognitive Services Custom Vision Trainer
b59867f0-fa02-499b-be73-45a86b5b3e1c,Cognitive Services Data Reader
9894cab4-e18a-44aa-828b-cb588cd6f2d7,Cognitive Services Face Recognizer
b2de6794-95db-4659-8781-7e080d3f2b9d,Cognitive Services Immersive Reader User
f07febfe-79bc-46b1-8b37-790e26e6e498,Cognitive Services Language Owner
7628b7b8-a8b2-4cdc-b46f-e9b35248918e,Cognitive Services Language Reader
f2310ca1-dc64-4889-bb49-c8e0fa3d47a8,Cognitive Services Language Writer
f72c8140-2111-481c-87ff-72b910f6e3f8,Cognitive Services LUIS Owner
18e81cdc-4e98-4e29-a639-e7d10c5a6226,Cognitive Services LUIS Reader
6322a993-d5c9-4bed-b113-e49bbea25b27,Cognitive Services LUIS Writer
cb43c632-a144-4ec5-977c-e80c4affc34a,Cognitive Services Metrics Advisor Administrator
3b20f47b-3825-43cb-8114-4bd2201156a8,Cognitive Services Metrics Advisor User
a001fd3d-188f-4b5d-821b-7da978bf7442,Cognitive Services OpenAI Contributor
5e0bd9bd-7b93-4f28-af87-19fc36ad61bd,Cognitive Services OpenAI User
f4cc2bf9-21be-47a1-bdf1-5c5804381025,Cognitive Services QnA Maker Editor
466ccd10-b268-4a11-b098-b4849f024126,Cognitive Services QnA Maker Reader
0e75ca1e-0464-4b4d-8b93-68208a576181,Cognitive Services Speech Contributor
f2dc8367-1007-4938-bd23-fe263f013447,Cognitive Services Speech User
bba48692-92b0-4667-a9ad-c31c7b334ac2,Cognitive Services Usages Reader
a97b65f3-24c7-4388-baec-2e87135dc908,Cognitive Services User
2bed379c-9fba-455b-99e4-6b911073bcf2,Compute Fleet Contributor
85a2d0d9-2eba-4c9c-b355-11c2cc0788ab,Compute Gallery Artifacts Publisher
cf7c76d2-98a3-4358-a134-615aa78bf44d,Compute Gallery Image Reader
1ef6a3be-d0ac-425d-8c01-acb62866290b,Compute Gallery Sharing Admin
980cf6f7-edec-4fd1-8e9e-28f70b1d5258,Compute Limit Operator
65a14201-8f6c-4c28-bec4-12619c5a9aaa,Connected Cluster Managed Identity CheckAccess Reader
6f4fe6fc-f04f-4d97-8528-8bc18c848dca,Container Apps ConnectedEnvironments Contributor
d5adeb5b-107f-4aca-99ea-4e3f4fc008d5,Container Apps ConnectedEnvironments Reader
358470bc-b998-42bd-ab17-a7e34c199c0f,Container Apps Contributor
4e3d2b60-56ae-4dc6-a233-09c8e5a82e68,Container Apps Jobs Contributor
b9a307c4-5aa3-4b52-ba60-2b17c136cd7b,Container Apps Jobs Operator
edd66693-d32a-450b-997d-0158c03976b0,Container Apps Jobs Reader
57cc5028-e6a7-4284-868d-0611c5923f8d,Container Apps ManagedEnvironments Contributor
1b32c00b-7eff-4c22-93e6-93d11d72d2d8,Container Apps ManagedEnvironments Reader
f3bd1b5c-91fa-40e7-afe7-0c11d331232c,Container Apps Operator
f7669afb-68b2-44b4-9c5f-6d2a47fddda0,Container Apps SessionPools Contributor
af61e8fc-2633-4b95-bed3-421ad6826515,Container Apps SessionPools Reader
df87f177-bb12-4db1-9793-a413691eff94,Container Registry Cache Rule Administrator
c357b964-0002-4b64-a50d-7a28f02edc52,Container Registry Cache Rule Reader
69b07be0-09bf-439a-b9a6-e73de851bd59,Container Registry Configuration Reader and Data Access Configuration Reader
3bc748fc-213d-45c1-8d91-9da5725539b9,Container Registry Contributor and Data Access Configuration Administrator
f094fb07-0703-4400-ad6a-e16dd8000e14,Container Registry Credential Set Administrator
29093635-9924-4f2c-913b-650a12949526,Container Registry Credential Set Reader
577a9874-89fd-4f24-9dbd-b5034d0ad23a,Container Registry Data Importer and Data Reader
bfdb9389-c9a5-478a-bb2f-ba9ca092c3c7,Container Registry Repository Catalog Lister
2efddaa5-3f1f-4df3-97df-af3f13818f4c,Container Registry Repository Contributor
b93aa761-3e63-49ed-ac28-beffa264f7ac,Container Registry Repository Reader
2a1e307c-b015-4ebd-883e-5b7698a07328,Container Registry Repository Writer
fb382eab-e894-4461-af04-94435c366c3f,Container Registry Tasks Contributor
bf94e731-3a51-4a7c-8c54-a1ab9971dfc1,Container Registry Transfer Pipeline Contributor
